Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.17,44,46,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.10,27,26,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.07,23,23,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.06,17,17,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.04,15,14,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.13,40,40,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.06,20,19,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,3.29,816,725,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.29,95,94,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.47,126,124,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.11,35,33,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.86,235,223,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.16,42,43,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.84,263,253,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.12,13,13,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.26,7,7,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.00,2,2,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.00,2,2,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.13,2,2,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.09,11,11,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.00,3,3,0,0,0,0,0
2026-06-23,Sales Campaign | 2026-06-23 | Pinterest performance+ on,Sales Ad group | 2026-06-23 |  Pinterest performance+ on,0.02,2,2,0,0,0,0,0
